Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std
MMR,0.124759129,0.064667304,0.180538301,0.08042248,0.251495742,0.097142364,0.076945545,0.045706803,0.101956562,0.055859859,0.130519821,0.06657741,0.395021416,0.124277017,0.513080231,0.142436573,0.653021798,0.160814323,0.213715775,0.104190757,0.260577059,0.119260466,0.311985302,0.134784616
TTO,0,0,6.76455E-06,1.11045E-06,5.41164E-05,8.88358E-06,-0.209494361,0.17984339,-0.236041132,0.196018804,-0.260943841,0.211055735,0.003338881,0.008178608,0.004020924,0.009831893,0.00482407,0.011677526,-0.454024332,0.153969018,-0.498649625,0.164192363,-0.540963586,0.17443108
IRL,0.081999648,0.05687037,0.114315418,0.069739096,0.154821253,0.083351069,0.021762301,0.016025026,0.027720345,0.018834034,0.034400038,0.021731395,0.081999648,0.05687037,0.114315418,0.069739096,0.154821253,0.083351069,0.035184883,0.024411958,0.044180229,0.028043868,0.054141342,0.031758166
ECU,0.080508934,0.083627563,0.20340886,0.145279913,0.422316572,0.220467826,0.0491604,0.050662876,0.088788477,0.069266355,0.136126123,0.089647659,0.454930193,0.229826785,0.815646008,0.316463921,1.334757069,0.410345914,0.188110216,0.114683116,0.266178575,0.141551022,0.354251274,0.169865395
NZL,0.015315721,0.010272457,0.13901899,0.03083527,0.234979818,0.036040334,0.012305918,0.009371674,0.085932894,0.038570631,0.122409415,0.051800929,0.015315721,0.010272457,0.13901899,0.03083527,0.234979818,0.036040334,-0.017046885,0.023788255,0.112564056,0.048345476,0.168882474,0.064987054
SGP,0.070348018,0.026348758,0.070382293,0.02635614,0.070416579,0.026363523,0.027265935,0.014926164,0.030022824,0.015508076,0.032598256,0.016010619,0.070348018,0.026348758,0.070382293,0.02635614,0.070416579,0.026363523,0.0421357,0.020907535,0.044494143,0.02159774,0.046623102,0.022263663
TUN,0,0,7.74537E-06,9.35715E-07,6.1963E-05,7.48572E-06,-0.071691399,0.053617748,-0.078539215,0.056778678,-0.08429688,0.059414343,0.197700666,0.054269075,0.218282867,0.057946167,0.240262152,0.061724503,0.15520351,0.064366797,0.172916302,0.069798972,0.191480136,0.075458966
DOM,0.01219962,0.02379661,0.023015689,0.037209507,0.040804672,0.054013787,0.004356183,0.029252046,0.017161178,0.036523401,0.033002326,0.044621665,0.11438383,0.103277148,0.169691653,0.130524405,0.241895617,0.160486689,0.080301436,0.076224067,0.110257986,0.088002445,0.144099603,0.100343302
JOR,0,0,0,0,0,0,-0.039607598,0.029610377,-0.047191896,0.0331716,-0.055040789,0.036615567,0.037127719,0.027685519,0.037127719,0.027685519,0.037127719,0.027685519,0.01643285,0.05366317,0.012956729,0.057872099,0.008946589,0.062009502
LBN,0.003560243,0.003401228,0.003940149,0.003732663,0.004347399,0.004084379,-0.035191774,0.032987252,-0.042772085,0.036816564,-0.050498914,0.040408715,0.075121822,0.052585214,0.078251645,0.05435488,0.081472942,0.056155362,0.039676195,0.093853797,0.037492897,0.101198589,0.034920905,0.108418726
