,,,,,,Outbound_Inbound,Outbound_inbound,
ISO3,Country,EU,,CSCC-DJO,CSCC-Tol,Transfer_T_wealth_DJO,Transfer_T_wealth_Tol,EEZ
,,,,USD(2020)/tCO2,USD(2020)/tCO2,m USD(2020) (10^6),m USD(2020) (10^6),
BLR,,,Belarus,0.13405353,0.018440583,-1375.281975,-189.1856285,0
BOL,,,Bolivia,0.050760313,0.054019671,-520.7601989,-554.1986093,0
BTN,,,Bhutan,0.007727678,0.002873493,-79.27978985,-29.47973444,0
BWA,,,Botswana,0.068782663,0.003505361,-705.6550943,-35.96219517,0
CAF,,,Central African Republic,0.027333645,0.0452673,-280.4213269,-464.4062817,0
CHE,,,Switzerland,1.788383583,0.004375663,-18347.38486,-44.89080493,0
CZE,,,Czech Republic,0.556070999,0.010141641,-5704.843596,-104.0451189,0
ETH,,,Ethiopia,0.35595457,1.421825757,-3651.809122,-14586.79481,0
HUN,,,Hungary,0.27899956,0.010973411,-2862.312282,-112.5784214,0
JOR,,,Jordan,0.050456388,0.019331729,-517.6421768,-198.3280706,0
KAZ,,,Kazakhstan,0.348779521,0.031859496,-3578.198857,-326.8529403,0
KGZ,,,Kyrgyzstan,0.007509882,0.047081853,-77.04538222,-483.0221449,0
LAO,,,Laos,0.013718452,0.052052627,-140.7403418,-534.0183149,0
LSO,,,Lesotho,0.008328002,0.012795489,-85.4386336,-131.2714842,0
LUX,,,Luxembourg,0.333725175,0.000247987,-3423.753314,-2.544148574,0
MDA,,,Moldova,0.003305917,0.01984475,-33.91606799,-203.5912573,0
MKD,,,Macedonia,0.025965467,0.00508657,-266.3849193,-52.18413937,0
MLI,,,Mali,0.11086897,0.131754957,-1137.426941,-1351.700453,0
MNG,,,Mongolia,0.013614458,0.013589932,-139.673443,-139.4218349,0
MWI,,,Malawi,0.15118466,0.25892537,-1551.033659,-2656.367161,0
NER,,,Niger,0.248110955,0.237676495,-2545.419912,-2438.370698,0
NPL,,,Nepal,0.122467685,0.307176784,-1256.420471,-3151.388063,0
PRY,,,Paraguay,0.030342771,0.026782695,-311.2925592,-274.7690231,0
RWA,,,Rwanda,0.075517762,0.134978608,-774.7518202,-1384.772538,0
SRB,,,Serbia,0.084259922,0.015975059,-864.4393965,-163.8913282,0
SVK,,,Slovakia,0.26893128,0.005304161,-2759.01979,-54.41644969,0
SVN,,,Slovenia,0.152823564,0.001728986,-1567.847503,-17.73801412,0
SWZ,,,Swaziland,0.007317932,0.003908154,-75.07612934,-40.09453185,0
TCD,,,Chad,0.093291874,0.089505098,-957.0999939,-918.2507029,0
TJK,,,Tajikistan,0.011642422,0.083676565,-119.4419329,-858.4546138,0
TKM,,,Turkmenistan,0.065714716,0.015591062,-674.1804158,-159.9518216,0
UGA,,,Uganda,0.320458803,0.400173691,-3287.650952,-4105.461933,0
UZB,,,Uzbekistan,0.051092288,0.207898362,-524.166002,-2132.870876,0
ZMB,,,Zambia,0.080749555,0.099697071,-828.4258323,-1022.812192,0
ZWE,,,Zimbabwe,0.019168245,0.147437659,-196.6508548,-1512.592431,0
