Table ST2: Costs as percentage of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha: country-splitting (main specification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NDCs with low ambition,,,,,,,,,,,,NDCs with high ambition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,Without Emissions Reductions Trading,,,,,,With Emissions Reductions Trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,Baseline OCS,,5% Attenuation OCS,,10% Attenuation OCS,,,,,,,,,,,,,,,,,,,,,,,,
Region,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,Mean,Std,,,,,,,,,,,,,,,,,,,,,,,
ECU,0.031660319,0.046292819,0.099232617,0.094960125,0.239334667,0.159631629,0.023328457,0.037971249,0.057116301,0.054325742,0.098357101,0.07286869,0.379398032,0.20758801,0.70163084,0.291738292,1.174125495,0.383889706,0.166458613,0.103557962,0.240444745,0.128442286,0.324286135,0.154711355,,,,,,,,,,,,,,,,,,,,,,,
NZL,0.015105564,0.010187502,0.138046481,0.030758335,0.234979818,0.036040334,0.012944983,0.009143752,0.081176143,0.037958298,0.115852788,0.050927589,0.015105564,0.010187502,0.138046481,0.030758335,0.234979818,0.036040334,-0.014433331,0.023236341,0.110261726,0.047167724,0.165432764,0.062773775,,,,,,,,,,,,,,,,,,,,,,,
SGP,0.095032169,0.031255083,0.095074221,0.03126283,0.095116286,0.031270579,0.029178657,0.016308749,0.032408445,0.017019272,0.035458318,0.017634942,0.095032169,0.031255083,0.095074221,0.03126283,0.095116286,0.031270579,0.048123222,0.022299955,0.051188084,0.023059154,0.054016076,0.023784001,,,,,,,,,,,,,,,,,,,,,,,
TUN,0,0,7.74537E-06,9.35715E-07,6.1963E-05,7.48572E-06,-0.063456352,0.048788249,-0.069745024,0.051795049,-0.075017404,0.054299268,0.14163027,0.043394988,0.158127261,0.046745183,0.175875397,0.050201105,0.118098453,0.052139026,0.132436673,0.05729331,0.147672258,0.062684888,,,,,,,,,,,,,,,,,,,,,,,
DOM,0.003591831,0.008710373,0.007723634,0.0164658,0.016157118,0.026867242,-0.010361686,0.016226297,-0.000424581,0.021367041,0.01246166,0.027759711,0.078178714,0.082001881,0.120768641,0.106691511,0.178157474,0.134309328,0.05823222,0.066808792,0.085354562,0.077611165,0.116325676,0.088989598,,,,,,,,,,,,,,,,,,,,,,,
JOR,0,0,0,0,0,0,-0.035053642,0.026936672,-0.042035994,0.030321364,-0.049288359,0.033600616,0.015396677,0.012797091,0.015396677,0.012797091,0.015396677,0.012797091,-0.017160388,0.048792968,-0.023625092,0.052950856,-0.030558261,0.057022057,,,,,,,,,,,,,,,,,,,,,,,
LBN,1.40654E-06,3.05577E-06,3.74874E-06,6.57011E-06,8.80677E-06,1.16457E-05,-0.0691223,0.052763397,-0.080897834,0.058356535,-0.092715792,0.063634643,0.029483268,0.023740663,0.031095528,0.02488688,0.032769685,0.026064602,-0.032436117,0.085064431,-0.041203767,0.092174493,-0.050232612,0.099127118,,,,,,,,,,,,,,,,,,,,,,,
LKA,8.26466E-05,0.000184564,0.001950183,0.001444129,0.011135,0.003518631,-0.019272417,0.014656741,-0.007043609,0.008993917,0.008878236,0.004426853,0.004411252,0.005324244,0.015634887,0.013389081,0.040538412,0.024815594,-0.021080285,0.01558257,0.004626687,0.021065375,0.035295381,0.03001301,,,,,,,,,,,,,,,,,,,,,,,
BOL,0,0,0,0,0,0,-0.044859277,0.038419653,-0.053684729,0.043374104,-0.062840395,0.04820668,0,0,0,0,0,0,-0.124729183,0.071587181,-0.14219825,0.078047547,-0.160036243,0.0843816,,,,,,,,,,,,,,,,,,,,,,,
BIH,1.002320066,0.744807754,1.002320066,0.744807754,1.002320066,0.744807754,0.256984139,0.194748359,0.284611497,0.208620603,0.310723077,0.221591322,1.341934981,0.89486994,1.341934981,0.89486994,1.341934981,0.89486994,0.492973339,0.321241875,0.526585501,0.338388236,0.558157161,0.354795917,,,,,,,,,,,,,,,,,,,,,,,
LAO,0.310296363,0.136591834,0.310296363,0.136591834,0.310296363,0.136591834,0.161294739,0.0978529,0.176666651,0.101876591,0.190704668,0.105343389,0.310296363,0.136591834,0.310296363,0.136591834,0.310296363,0.136591834,0.236583511,0.134705287,0.246157561,0.139740784,0.254037626,0.144686017,,,,,,,,,,,,,,,,,,,,,,,
AGO,0.072576167,0.022554088,0.146874293,0.035965023,0.260412583,0.051953896,0.049104977,0.023111021,0.07890881,0.035704849,0.114284167,0.049454542,0.253270987,0.05104139,0.411732299,0.069545435,0.625829455,0.091074799,0.149281632,0.058190198,0.206871238,0.075919746,0.271877538,0.094618889,,,,,,,,,,,,,,,,,,,,,,,
